"CSV Hader","伝票管理番号","業者名","業者担当","伝票ID","受注日","出荷日","納品先CD","納品先","商品CD","商品名","規格","運送数量","運送会社CD","運送会社","御社商品ｺｰﾄﾞ","備考","摘要","項目1","項目2","項目3","項目4","項目5"
"","10141031001","","","100210","2014/10/31","2014/11/04","","","CURRY07","博多華味鳥 粗挽きキーマカレー(30入)","1","1 ｾｯﾄ ","","","D3-B1301","","","","","","",""
"","10141031004","","","100215","2014/10/31","2014/11/01","","","P-01A","博多ぽん酢360ml","1","1 ","","","D3-B2155","","","","","","",""
"","10141031005","","","100216","2014/10/31","2014/11/01","","","PT300","ピリカラチキン","1","1 ","","","D3-B2124","","","","","","",""
"","10141031008","","","100219","2014/10/31","2014/11/04","","","00306002","博多華味鳥　焼鳥セット(HY-03)","1","1 ","","","D3-B1017","","","","","","",""
"","10141031009","","","100220","2014/10/31","2014/11/03","","","DAI3-TORIMASI","かしわ飯の素100ｇ","1","1 ","","","D3-B1496","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00002018","華味鳥水たきスープ　600ｇ","1","1 ","","","D3-B1009","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00002019","華味鳥寄せ鍋スープ　600ｇ","1","1 ","","","D3-B1010","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00002168","華味鳥キムチ鍋スープ　600ｇ","1","1 ","","","D3-B1011","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00002344","博多華味鳥 水たきスープ600gN","1","1 ","","","D3-B1013","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00002345","博多華味鳥 寄せ鍋スープ600gN","1","1 ","","","D3-B1014","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00301007","博多華味鳥　水たきセット(HS-50)","1","1 ","","","D3-B1015","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00305002","博多華味鳥　串揚げセット(KA-40)","1","1 ","","","D3-B1016","","","","","","",""
"","10141031011","","","100223","2014/10/31","2014/11/04","7000109","上大岡","00306002","博多華味鳥　焼鳥セット(HY-03)","1","1 ","","","D3-B1017","","","","","","",""
"","10141101001","","","100224","2014/11/01","2014/11/04","7000180","","C149000","しょうが鍋スープ　400ｇ","1","1 個  ","","","D3-B1656","","","","","","",""
"","10141101001","","","100224","2014/11/01","2014/11/04","7000180","","CURRY03","華味鳥　キーマカレー（30入）","1","1 袋  ","","","D3-B1655","","","","","","",""
"","10141101001","","","100224","2014/11/01","2014/11/04","7000180","","CURRY02","華味鳥　手羽元カレー（30入）","1","1 袋  ","","","D3-B1654","","","","","","",""
